,,Jennifer L. McClellan,"William J. ""Bill"" Moher III",Write-Ins,Total Votes Cast
,,Democratic,Republican,,
Locality,Surry County,2176,2131,8,4315
Precinct,101 - Surry,362,565,3,930
Precinct,201 - Bacons Castle,487,357,4,848
Precinct,301 - Dendron,435,420,0,855
Precinct,401 - Carsley,442,425,0,867
Precinct,501 - Claremont,238,286,0,524
Precinct,502 - Spring Grove,188,51,1,240
Precinct,SURRY COUNTY PROVISIONALS,24,27,0,51
Locality,Sussex County,2502,2227,7,4736
Precinct,101 - Waverly,474,117,0,591
Precinct,201 - Stony Creek,392,295,1,688
Precinct,301 - Courthouse,105,176,0,281
Precinct,302 - NEWVILLE 1,63,145,0,208
Precinct,401 - Wakefield Firehouse,384,384,1,769
Precinct,501 - Henry,370,294,0,664
Precinct,601 - Blackwater,273,297,4,574
Precinct,602 - Wakefield,75,115,0,190
Precinct,701 - Yale,195,262,0,457
Precinct,702 - NEWVILLE 2,123,109,0,232
Precinct,SUSSEX COUNTY PROVISIONALS,48,33,1,82
