,,Jen A. Kiggans,Missy Cotter Smasal,"Robert E. Reid, Jr.",Write-Ins,Total Votes Cast
,,Republican,Democratic,Independent,,
Precinct,096 - Precinct 96,634,871,57,3,1565
Precinct,097 - Precinct 97,783,1185,73,2,2043
Precinct,098 - Precinct 98,509,908,47,3,1467
Precinct,099 - Precinct 99,501,755,30,2,1288
Precinct,100 - Precinct 100,795,414,16,0,1225
Precinct,101 - Precinct 101,297,254,20,1,572
Precinct,102 - Precinct 102,153,203,6,0,362
Precinct,103 - Precinct 103,309,601,27,1,938
Precinct,104 - Precinct 104,496,1321,50,1,1868
Precinct,105 - Precinct 105,443,291,16,1,751
Precinct,106 - Precinct 106,525,836,30,3,1394
Precinct,107 - Precinct 107,604,494,24,0,1122
Precinct,108 - Precinct 108,370,296,8,0,674
Precinct,PROVISIONALS,2312,2106,227,12,4657
