,,"Robert C. ""Bobby"" Scott","John Sitka, III",Write-Ins,Total Votes Cast
,,Democratic,Republican,,
Precinct,011 - Joseph E. Parker Recreation Center,840,46,0,886
Precinct,013 - St. Mark Missionary Baptist Church,491,28,2,521
Precinct,014 - Brighton Elementary School,1009,74,0,1083
Precinct,016 - Cradock Middle School,796,267,3,1066
Precinct,017 - Victory Life Fellowship,1018,343,2,1363
Precinct,019 - Victory Elementary School,419,259,1,679
Precinct,020 - Noble Street Baptist Church,995,243,1,1239
Precinct,021 - Hendricks/Kendall Recreation Center,621,40,0,661
Precinct,022 - St. Mark Deliverance Center,723,446,1,1170
Precinct,023 - Westhaven Baptist Church,581,585,2,1168
Precinct,024 - The Senior Station,663,292,1,956
Precinct,025 - Waterview Elementary School,868,453,4,1325
Precinct,026 - William E. Waters Middle School,1148,61,0,1209
Precinct,027 - Cavalier Manor Recreation Center,1032,66,5,1103
Precinct,028 - Lakeview Elementary School,1656,69,1,1726
Precinct,029 - Manor High School,367,509,2,878
Precinct,030 - The Rescue Church,488,653,0,1141
Precinct,031 - West Park Church Of Christ,1156,529,6,1691
Precinct,032 - Hodges Manor Elementary School,544,534,1,1079
Precinct,033- Pinecrest Baptist Church,356,573,2,931
Precinct,034- Churchland Branch Library,714,588,5,1307
Precinct,035 - Churchland Elementary School,862,694,4,1560
Precinct,036 - Churchland High School,1743,1032,6,2781
Precinct,037 - Churchland Middle School,1469,595,5,2069
Precinct,038 - Grove Baptist Church,1728,282,1,2011
Precinct,039 - Churchland Primary And Intermediate School,1921,567,4,2492
Precinct,PORTSMOUTH CITY PROVISIONALS,767,275,3,1045
